Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
07/04/17,Villarreal,Ath Bilbao,3,1,H,2016-17,16,0.6
08/04/17,Espanol,Alaves,1,0,H,2016-17,16,0.6
08/04/17,Malaga,Barcelona,2,0,H,2016-17,16,0.6
08/04/17,Real Madrid,Ath Madrid,1,1,D,2016-17,16,0.6
08/04/17,Sevilla,La Coruna,4,2,H,2016-17,16,0.6
09/04/17,Celta,Eibar,0,2,A,2016-17,16,0.6
09/04/17,Granada,Valencia,1,3,A,2016-17,16,0.6
09/04/17,Las Palmas,Betis,4,1,H,2016-17,16,0.6
09/04/17,Osasuna,Leganes,2,1,H,2016-17,16,0.6
10/04/17,Sociedad,Sp Gijon,3,1,H,2016-17,16,0.6
14/04/17,Ath Bilbao,Las Palmas,5,1,H,2016-17,16,0.6
15/04/17,Ath Madrid,Osasuna,3,0,H,2016-17,16,0.6
15/04/17,Barcelona,Sociedad,3,2,H,2016-17,16,0.6
15/04/17,La Coruna,Malaga,2,0,H,2016-17,16,0.6
15/04/17,Sp Gijon,Real Madrid,2,3,A,2016-17,16,0.6
16/04/17,Betis,Eibar,2,0,H,2016-17,16,0.6
16/04/17,Granada,Celta,0,3,A,2016-17,16,0.6
16/04/17,Leganes,Espanol,0,1,A,2016-17,16,0.6
16/04/17,Valencia,Sevilla,0,0,D,2016-17,16,0.6
17/04/17,Alaves,Villarreal,2,1,H,2016-17,16,0.6
21/04/17,Sevilla,Granada,2,0,H,2016-17,16,0.6
22/04/17,Espanol,Ath Madrid,0,1,A,2016-17,16,0.6
22/04/17,Malaga,Valencia,2,0,H,2016-17,16,0.6
22/04/17,Osasuna,Sp Gijon,2,2,D,2016-17,16,0.6
22/04/17,Villarreal,Leganes,2,1,H,2016-17,16,0.6
23/04/17,Celta,Betis,0,1,A,2016-17,16,0.6
23/04/17,Las Palmas,Alaves,1,1,D,2016-17,16,0.6
23/04/17,Real Madrid,Barcelona,2,3,A,2016-17,16,0.6
23/04/17,Sociedad,La Coruna,1,0,H,2016-17,16,0.6
24/04/17,Eibar,Ath Bilbao,0,1,A,2016-17,16,0.6
25/04/17,Ath Madrid,Villarreal,0,1,A,2016-17,16,0.6
25/04/17,Granada,Malaga,0,2,A,2016-17,16,0.6
25/04/17,Sp Gijon,Espanol,1,1,D,2016-17,16,0.6
26/04/17,Barcelona,Osasuna,7,1,H,2016-17,16,0.6
26/04/17,La Coruna,Real Madrid,2,6,A,2016-17,16,0.6
26/04/17,Leganes,Las Palmas,3,0,H,2016-17,16,0.6
26/04/17,Valencia,Sociedad,2,3,A,2016-17,16,0.6
27/04/17,Alaves,Eibar,0,0,D,2016-17,16,0.6
27/04/17,Ath Bilbao,Betis,2,1,H,2016-17,16,0.6
27/04/17,Sevilla,Celta,2,1,H,2016-17,16,0.6
28/04/17,Villarreal,Sp Gijon,3,1,H,2016-17,16,0.6
29/04/17,Espanol,Barcelona,0,3,A,2016-17,16,0.6
29/04/17,Las Palmas,Ath Madrid,0,5,A,2016-17,16,0.6
29/04/17,Real Madrid,Valencia,2,1,H,2016-17,16,0.6
29/04/17,Sociedad,Granada,2,1,H,2016-17,16,0.6
30/04/17,Betis,Alaves,1,4,A,2016-17,16,0.6
30/04/17,Celta,Ath Bilbao,0,3,A,2016-17,16,0.6
30/04/17,Eibar,Leganes,2,0,H,2016-17,16,0.6
30/04/17,Osasuna,La Coruna,2,2,D,2016-17,16,0.6
01/05/17,Malaga,Sevilla,4,2,H,2016-17,16,0.6
05/05/17,Sevilla,Sociedad,1,1,D,2016-17,16,0.6
06/05/17,Ath Madrid,Eibar,1,0,H,2016-17,16,0.6
06/05/17,Barcelona,Villarreal,4,1,H,2016-17,16,0.6
06/05/17,Granada,Real Madrid,0,4,A,2016-17,16,0.6
06/05/17,Sp Gijon,Las Palmas,1,0,H,2016-17,16,0.6
07/05/17,Alaves,Ath Bilbao,1,0,H,2016-17,16,0.6
07/05/17,La Coruna,Espanol,1,2,A,2016-17,16,0.6
07/05/17,Malaga,Celta,3,0,H,2016-17,16,0.6
07/05/17,Valencia,Osasuna,4,1,H,2016-17,16,0.6
08/05/17,Leganes,Betis,4,0,H,2016-17,16,0.6
13/05/17,Espanol,Valencia,0,1,A,2016-17,16,0.6
13/05/17,Osasuna,Granada,2,1,H,2016-17,16,0.6
14/05/17,Alaves,Celta,3,1,H,2016-17,16,0.6
14/05/17,Ath Bilbao,Leganes,1,1,D,2016-17,16,0.6
14/05/17,Betis,Ath Madrid,1,1,D,2016-17,16,0.6
14/05/17,Eibar,Sp Gijon,0,1,A,2016-17,16,0.6
14/05/17,Las Palmas,Barcelona,1,4,A,2016-17,16,0.6
14/05/17,Real Madrid,Sevilla,4,1,H,2016-17,16,0.6
14/05/17,Sociedad,Malaga,2,2,D,2016-17,16,0.6
14/05/17,Villarreal,La Coruna,0,0,D,2016-17,16,0.6
17/05/17,Celta,Real Madrid,1,4,A,2016-17,16,0.6
19/05/17,Granada,Espanol,1,2,A,2016-17,16,0.6
20/05/17,La Coruna,Las Palmas,3,0,H,2016-17,16,0.6
20/05/17,Leganes,Alaves,1,1,D,2016-17,16,0.6
20/05/17,Sevilla,Osasuna,5,0,H,2016-17,16,0.6
20/05/17,Sp Gijon,Betis,2,2,D,2016-17,16,0.6
21/05/17,Ath Madrid,Ath Bilbao,3,1,H,2016-17,16,0.6
21/05/17,Barcelona,Eibar,4,2,H,2016-17,16,0.6
21/05/17,Celta,Sociedad,2,2,D,2016-17,16,0.6
21/05/17,Malaga,Real Madrid,0,2,A,2016-17,16,0.6
21/05/17,Valencia,Villarreal,1,3,A,2016-17,16,0.6
18/08/17,Leganes,Alaves,1,0,H,2017-18,17,0.7
18/08/17,Valencia,Las Palmas,1,0,H,2017-18,17,0.7
19/08/17,Celta,Sociedad,2,3,A,2017-18,17,0.7
19/08/17,Girona,Ath Madrid,2,2,D,2017-18,17,0.7
19/08/17,Sevilla,Espanol,1,1,D,2017-18,17,0.7
20/08/17,Ath Bilbao,Getafe,0,0,D,2017-18,17,0.7
20/08/17,Barcelona,Betis,2,0,H,2017-18,17,0.7
20/08/17,La Coruna,Real Madrid,0,3,A,2017-18,17,0.7
21/08/17,Levante,Villarreal,1,0,H,2017-18,17,0.7
21/08/17,Malaga,Eibar,0,1,A,2017-18,17,0.7
25/08/17,Betis,Celta,2,1,H,2017-18,17,0.7
25/08/17,Sociedad,Villarreal,3,0,H,2017-18,17,0.7
26/08/17,Alaves,Barcelona,0,2,A,2017-18,17,0.7
26/08/17,Girona,Malaga,1,0,H,2017-18,17,0.7
26/08/17,Las Palmas,Ath Madrid,1,5,A,2017-18,17,0.7
26/08/17,Levante,La Coruna,2,2,D,2017-18,17,0.7
27/08/17,Eibar,Ath Bilbao,0,1,A,2017-18,17,0.7
