Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
15/04/17,Pescara,Juventus,0,2,A,2016-17,16,0.6
15/04/17,Roma,Atalanta,1,1,D,2016-17,16,0.6
15/04/17,Sassuolo,Sampdoria,2,1,H,2016-17,16,0.6
15/04/17,Torino,Crotone,1,1,D,2016-17,16,0.6
22/04/17,Atalanta,Bologna,3,2,H,2016-17,16,0.6
22/04/17,Fiorentina,Inter,5,4,H,2016-17,16,0.6
23/04/17,Chievo,Torino,1,3,A,2016-17,16,0.6
23/04/17,Juventus,Genoa,4,0,H,2016-17,16,0.6
23/04/17,Lazio,Palermo,6,2,H,2016-17,16,0.6
23/04/17,Milan,Empoli,1,2,A,2016-17,16,0.6
23/04/17,Sampdoria,Crotone,1,2,A,2016-17,16,0.6
23/04/17,Sassuolo,Napoli,2,2,D,2016-17,16,0.6
23/04/17,Udinese,Cagliari,2,1,H,2016-17,16,0.6
24/04/17,Pescara,Roma,1,4,A,2016-17,16,0.6
28/04/17,Atalanta,Juventus,2,2,D,2016-17,16,0.6
29/04/17,Torino,Sampdoria,1,1,D,2016-17,16,0.6
30/04/17,Bologna,Udinese,4,0,H,2016-17,16,0.6
30/04/17,Cagliari,Pescara,1,0,H,2016-17,16,0.6
30/04/17,Crotone,Milan,1,1,D,2016-17,16,0.6
30/04/17,Empoli,Sassuolo,1,3,A,2016-17,16,0.6
30/04/17,Genoa,Chievo,1,2,A,2016-17,16,0.6
30/04/17,Inter,Napoli,0,1,A,2016-17,16,0.6
30/04/17,Palermo,Fiorentina,2,0,H,2016-17,16,0.6
30/04/17,Roma,Lazio,1,3,A,2016-17,16,0.6
06/05/17,Juventus,Torino,1,1,D,2016-17,16,0.6
06/05/17,Napoli,Cagliari,3,1,H,2016-17,16,0.6
07/05/17,Chievo,Palermo,1,1,D,2016-17,16,0.6
07/05/17,Empoli,Bologna,3,1,H,2016-17,16,0.6
07/05/17,Genoa,Inter,1,0,H,2016-17,16,0.6
07/05/17,Lazio,Sampdoria,7,3,H,2016-17,16,0.6
07/05/17,Milan,Roma,1,4,A,2016-17,16,0.6
07/05/17,Pescara,Crotone,0,1,A,2016-17,16,0.6
07/05/17,Sassuolo,Fiorentina,2,2,D,2016-17,16,0.6
07/05/17,Udinese,Atalanta,1,1,D,2016-17,16,0.6
13/05/17,Atalanta,Milan,1,1,D,2016-17,16,0.6
13/05/17,Fiorentina,Lazio,3,2,H,2016-17,16,0.6
14/05/17,Bologna,Pescara,3,1,H,2016-17,16,0.6
14/05/17,Cagliari,Empoli,3,2,H,2016-17,16,0.6
14/05/17,Crotone,Udinese,1,0,H,2016-17,16,0.6
14/05/17,Inter,Sassuolo,1,2,A,2016-17,16,0.6
14/05/17,Palermo,Genoa,1,0,H,2016-17,16,0.6
14/05/17,Roma,Juventus,3,1,H,2016-17,16,0.6
14/05/17,Sampdoria,Chievo,1,1,D,2016-17,16,0.6
14/05/17,Torino,Napoli,0,5,A,2016-17,16,0.6
20/05/17,Chievo,Roma,3,5,A,2016-17,16,0.6
20/05/17,Napoli,Fiorentina,4,1,H,2016-17,16,0.6
21/05/17,Empoli,Atalanta,0,1,A,2016-17,16,0.6
21/05/17,Genoa,Torino,2,1,H,2016-17,16,0.6
21/05/17,Juventus,Crotone,3,0,H,2016-17,16,0.6
21/05/17,Lazio,Inter,1,3,A,2016-17,16,0.6
